OIL_WTI VALUE (1825 TERM),NGP_NYMX  VALUE (1825 TERM),EQTY_S&P500 INDX_USD VALUE,Basis ,IR_USD_GOVT VALUE (10950 TERM),IR_CAD_GOVT VALUE (10950 TERM),IR_CAD_SWAP VALUE (10950 TERM),IR_USD_SWAP VALUE (10950 TERM),FX Rate
53.57736842,3.076210526,2357.7915,-6.7875,0.031016379,0.022609035,0.023221546,2.55E-02,0.752294588
51.95227273,2.778,2396.243913,-9.443181818,3.12E-02,2.21E-02,2.32E-02,2.53E-02,0.78766859
51.40727273,2.735136364,2433.985455,-9.806818182,2.94E-02,0.020873737,2.24E-02,2.45E-02,0.793213901
53.237,2.70165,2452.905238,-9.5125,3.02E-02,2.31E-02,2.54E-02,2.59E-02,0.813442276
51.90478261,2.695304348,2456.223043,-11.625,2.89E-02,2.35E-02,2.52E-02,0.024781816,0.793906873
51.914,2.7377,2492.065238,-10.0125,2.86E-02,0.024346105,2.58E-02,2.46E-02,0.783419891
50.22818182,2.797863636,2556.997273,-10.75,0.029570416,2.44E-02,2.60E-02,2.59E-02,0.783637996
50.26095238,2.825190476,2593.763636,-11.71428571,2.86E-02,2.28E-02,2.51E-02,2.57E-02,0.804216661
50.794,2.8784,2665.245238,-14.31578947,2.82E-02,2.21E-02,2.45E-02,0.025661045,0.794611711
52.64571429,3.038285714,2783.631739,-12.98863636,2.91E-02,0.023556529,2.61E-02,2.69E-02,0.77355479
50.86,3.136526316,2704.88,-13.09210526,3.16E-02,2.45E-02,2.79E-02,2.95E-02,0.785564721
51.33095238,2.911904762,2699.96,-11.46428571,3.12E-02,2.34E-02,2.68E-02,2.91E-02,0.777090292
50.83333333,2.757809524,2653.991429,-8.785714286,3.09E-02,2.37E-02,2.72E-02,0.029093016,0.761867376
53.12863636,2.658454545,2702.356087,-9.727272727,3.14E-02,2.41E-02,0.027585186,3.01E-02,0.761562637
54.62666667,2.627666667,2756.146667,-6.525,3.06E-02,2.25E-02,2.65E-02,2.96E-02,0.76705008
54.82571429,2.596952381,2787.171364,0.839285714,3.00E-02,2.22E-02,2.63E-02,2.92E-02,0.767289385
55.80521739,2.591347826,2857.820298,-2.25,3.05E-02,2.29E-02,2.73E-02,2.96E-02,0.76834525
56.94210526,2.579105263,2901.228804,-2.907894737,3.14E-02,2.35E-02,2.80E-02,3.05E-02,0.757345232
57.8226087,2.652913043,2785.464686,-6.511363636,3.35E-02,0.024893802,2.95E-02,3.22E-02,0.743372431
55.85761905,2.79,2719.850048,-7.375,0.03386311,2.45E-02,2.94E-02,3.22E-02,0.751531895
52.2595,2.95355,2565.903662,-8.470588235,3.13E-02,2.21E-02,2.73E-02,2.94E-02,0.757165172
54.06142857,2.988142857,2607.701983,-8.568181818,3.08E-02,2.18E-02,2.67E-02,2.84E-02,0.748094698
53.80947368,2.955947368,2755.879675,-9.776315789,3.06E-02,0.021685387,2.64E-02,0.028243109,0.747612073
53.9847619,2.841380952,2803.98356,-10.3452381,3.03E-02,2.03E-02,2.46E-02,2.75E-02,0.742931311
53.95095238,2.701619048,2901.753557,-9.1375,3.00E-02,0.020341798,2.48E-02,2.71E-02,0.752884703
53.06863636,2.689454545,2860.442647,-10.575,2.87E-02,1.92E-02,2.39E-02,2.55E-02,0.763236998
53.062,2.6921,2887.477013,-10.0625,0.026473786,1.74E-02,2.16E-02,2.28E-02,0.7534831
53.43090909,2.667954545,2997.185153,-9.25,2.64E-02,1.74E-02,2.14E-02,2.24E-02,0.755057269
52.67545455,2.587409091,2907.422512,-10.625,2.19E-02,0.014696944,1.81E-02,1.72E-02,0.758097492
52.1685,2.5722,2974.560056,-11.625,2.20E-02,0.015598488,1.88E-02,1.73E-02,0.755398761
51.61869565,2.58826087,2980.528696,-10.03409091,2.24E-02,1.60E-02,1.96E-02,1.81E-02,0.759488663
51.9365,2.66355,3106.209048,-9.805555556,2.33E-02,0.016331355,2.06E-02,0.019072608,0.764478479
51.52761905,2.753666667,3177.324091,-10.56578947,2.35E-02,1.68E-02,2.15E-02,2.00E-02,0.752704051
51.44619048,2.769142857,3279.451739,-11.43055556,2.28E-02,1.62E-02,2.10E-02,1.91E-02,0.717543415
51.36578947,2.666421053,3282.2545,-11.84375,0.020262934,1.43E-02,0.0185603,1.64E-02,0.711727716
45.61,2.463818182,2652.393636,-20.52380952,1.52E-02,0.012775501,1.38E-02,9.29E-03,0.715783391
43.30571429,2.283666667,2749.357273,-15.97619048,1.33E-02,1.32E-02,1.57E-02,8.85E-03,0.740531851
